time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-16T12:09:07.830Z,35.8935,-117.7186667,9.58,1.07,ml,16,80,0.07758,0.12,ci,ci39466959,2020-11-16T12:12:56.588Z,"18km ESE of Little Lake, CA",earthquake,0.27,0.78,0.183,16,automatic,ci,ci
2020-11-16T12:08:32.720Z,37.9088,-117.6072,26.3,1.1,ml,8,194.43,0.408,0.07,nn,nn00784607,2020-11-16T12:17:40.403Z,"17 km N of Silver Peak, Nevada",earthquake,,8.4,,,automatic,nn,nn
2020-11-16T12:05:28.039Z,41.8181,-126.0526,10,3.7,mb,,182,1.626,0.63,us,us7000cflt,2020-11-16T14:31:19.040Z,"146 km WSW of Pistol River, Oregon",earthquake,7.1,2,0.151,11,reviewed,us,us
2020-11-16T12:01:03.662Z,64.5354,-147.8117,10.2,1.3,ml,,,,0.47,ak,ak020er2ntrv,2020-11-16T12:14:00.963Z,"30 km S of South Van Horn, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-11-16T11:59:56.770Z,38.1872,-117.833,9.7,1.4,ml,9,160.43,0.059,0.06,nn,nn00784606,2020-11-16T12:09:40.123Z,"33 km SE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-11-16T11:50:07.610Z,35.8921667,-117.7236667,8.41,0.54,ml,13,78,0.08144,0.1,ci,ci39466951,2020-11-16T11:53:48.937Z,"17km ESE of Little Lake, CA",earthquake,0.26,0.71,0.174,7,automatic,ci,ci
2020-11-16T11:44:51.920Z,38.8308334,-122.8141632,1.57,1.01,md,15,63,0.008085,0.01,nc,nc73482911,2020-11-16T11:59:05.076Z,"8km NW of The Geysers, CA",earthquake,0.25,0.53,,1,automatic,nc,nc
2020-11-16T11:40:55.150Z,38.1708,-117.856,6.6,0.6,ml,10,101.88,0.029,0.01,nn,nn00784603,2020-11-16T11:49:20.104Z,"32 km SE of Mina, Nevada",earthquake,,4.4,,,automatic,nn,nn
2020-11-16T11:34:29.270Z,35.8876667,-118.0716667,10.05,0.81,ml,14,97,0.1419,0.1,ci,ci39466943,2020-11-16T11:38:04.176Z,"16km WSW of Little Lake, CA",earthquake,0.34,1.15,0.108,10,automatic,ci,ci
2020-11-16T11:33:43.864Z,60.7092,-149.2204,22.1,1.4,ml,,,,0.52,ak,ak020er29c6q,2020-11-16T11:37:17.027Z,"22 km SSE of Sunrise, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-16T11:25:01.250Z,38.192,-117.7517,15.7,1,ml,18,98.66,0.028,0.13,nn,nn00784598,2020-11-16T11:36:21.604Z,"38 km SE of Mina, Nevada",earthquake,,1.3,,,automatic,nn,nn
2020-11-16T11:22:07.032Z,67.5769,-145.9281,15.8,1.4,ml,,,,0.74,ak,ak020er26w59,2020-11-16T11:30:36.163Z,"63 km SSW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-16T11:21:17.423Z,60.4091,-149.6376,30.6,1.5,ml,,,,0.67,ak,ak020er26pjy,2020-11-16T11:28:55.820Z,"13 km SE of Cooper Landing, Alaska",earthquake,,0.1,,,automatic,ak,ak
2020-11-16T11:17:45.380Z,38.0762,-117.8773,24.2,0.7,ml,11,151.23,0.057,0.25,nn,nn00784596,2020-11-16T11:25:39.998Z,"40 km SSE of Mina, Nevada",earthquake,,12.6,,,automatic,nn,nn
2020-11-16T11:16:52.170Z,35.53783333,-96.76083333,7.9,1.12,ml,36,64,0.1160772217,0.14,ok,ok2020wnnh,2020-11-16T13:26:13.237Z,"8 km NW of Prague, Oklahoma",earthquake,,0.4,0.2,10,reviewed,ok,ok
2020-11-16T11:15:08.330Z,38.2075,-117.7405,10.8,1,ml,13,99.59,0.041,0.03,nn,nn00784594,2020-11-16T11:19:20.608Z,"38 km ESE of Mina, Nevada",earthquake,,4.2,,,automatic,nn,nn
2020-11-16T11:13:47.730Z,38.1605,-117.86,7,1.3,ml,10,101.54,0.006,0.06,nn,nn00784591,2020-11-16T11:17:20.568Z,"33 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-16T11:08:40.190Z,38.1607,-117.8638,5.9,0.7,ml,14,109.93,0.011,0.08,nn,nn00784588,2020-11-16T11:15:00.654Z,"33 km SE of Mina, Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-11-16T11:07:35.468Z,64.5701,-148.2107,12.7,0.6,ml,,,,0.32,ak,ak020er23qx6,2020-11-16T11:11:03.610Z,"32 km SSW of Ester, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-11-16T11:05:07.260Z,48.5579986572266,-122.606666564941,16.0100002288818,2.23000002,md,34,59,,0.189999998,uw,uw61701776,2020-11-16T11:08:56.030Z,"5 km N of Anacortes, Washington",earthquake,0.36,1.16999996,0.109999999,7,automatic,uw,uw
2020-11-16T10:59:53.170Z,35.8911667,-117.7243333,8.04,1.4,ml,19,80,0.08251,0.1,ci,ci39466935,2020-11-16T11:03:33.946Z,"17km ESE of Little Lake, CA",earthquake,0.23,0.6,0.171,18,automatic,ci,ci
2020-11-16T10:58:52.490Z,35.8881667,-117.7271667,7.9,1.37,ml,18,78,0.08514,0.15,ci,ci39466927,2020-11-16T11:02:28.218Z,"17km ESE of Little Lake, CA",earthquake,0.31,0.95,0.187,13,automatic,ci,ci
2020-11-16T10:58:42.640Z,35.8905,-117.7205,9.65,1.3,ml,13,82,0.08075,0.07,ci,ci39466919,2020-11-16T11:02:18.933Z,"18km ESE of Little Lake, CA",earthquake,0.18,0.55,0.153,7,automatic,ci,ci
2020-11-16T10:56:38.070Z,35.0295,-117.609,1.94,2.8,ml,13,316,0.4585,0.37,ci,ci39466911,2020-11-16T11:00:38.389Z,"5km NE of Boron, CA",earthquake,20.4,31.61,0.107,25,automatic,ci,ci
2020-11-16T10:56:22.360Z,35.8899994,-117.7249985,7.01,3.59,mw,57,20,0.08371,0.21,ci,ci39466903,2020-11-16T14:20:51.882Z,"17km ESE of Little Lake, CA",earthquake,0.22,0.62,,4,reviewed,ci,ci
2020-11-16T10:51:13.060Z,36.4044991,-120.9941635,7.53,1.31,md,8,126,0.02848,0.2,nc,nc73482896,2020-11-16T11:05:04.542Z,"19km SE of Pinnacles, CA",earthquake,1.18,1.3,0.22,7,automatic,nc,nc
2020-11-16T10:45:00.240Z,38.1815,-117.9135,5.8,1.3,ml,14,119.25,0.044,0.11,nn,nn00784582,2020-11-16T10:57:21.188Z,"28 km SE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-11-16T10:33:37.130Z,17.9463,-66.8885,9,2.34,md,15,191,0.0303,0.16,pr,pr2020321005,2020-11-16T11:20:09.985Z,"3 km SE of Guánica, Puerto Rico",earthquake,0.61,0.51,0.18,5,reviewed,pr,pr
2020-11-16T10:32:23.170Z,38.2087,-117.6592,7.4,0.7,ml,11,153,0.039,0.02,nn,nn00784581,2020-11-16T10:45:59.501Z,"40 km WNW of Tonopah, Nevada",earthquake,,8.3,,,automatic,nn,nn
2020-11-16T10:30:58.600Z,38.7478333,-122.7271652,1.82,1.18,md,10,121,0.01386,0.04,nc,nc73482891,2020-11-16T10:45:08.552Z,"4km SE of The Geysers, CA",earthquake,0.37,0.48,0.13,5,automatic,nc,nc
2020-11-16T10:24:23.580Z,38.1893,-117.7693,10.6,1.7,ml,24,120.17,0.093,0.08,nn,nn00784578,2020-11-16T10:34:22.567Z,"37 km SE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-11-16T10:23:04.090Z,38.1933,-117.718,1.1,0.9,ml,10,165.15,0.111,0.34,nn,nn00784576,2020-11-16T10:26:19.147Z,"40 km ESE of Mina, Nevada",earthquake,,16.6,,,automatic,nn,nn
2020-11-16T10:19:29.610Z,34.0411667,-117.2353333,16.09,1.85,ml,77,49,0.08508,0.15,ci,ci39466895,2020-11-16T11:36:49.400Z,"2km ESE of Loma Linda, CA",earthquake,0.17,0.36,0.153,23,automatic,ci,ci
2020-11-16T10:16:37.320Z,38.2208,-117.7375,11.2,0.4,ml,9,152.62,0.038,0.03,nn,nn00784575,2020-11-16T10:24:19.393Z,"37 km ESE of Mina, Nevada",earthquake,,8,,,automatic,nn,nn
2020-11-16T10:12:49.900Z,38.145,-118.017,5.6,1.5,ml,21,76.1,0.024,0.21,nn,nn00784571,2020-11-16T10:19:02.578Z,"28 km SSE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-16T10:10:07.080Z,36.963,-121.411,6.42,0.73,md,8,190,0.02081,0.02,nc,nc73482881,2020-11-16T12:21:07.330Z,"13km N of Hollister, CA",earthquake,0.47,0.61,0.11,7,reviewed,nc,nc
2020-11-16T10:07:00.850Z,17.8976,-66.9856,11,2.83,md,10,256,0.0927,0.13,pr,pr2020321004,2020-11-16T11:19:37.490Z,"10 km SE of La Parguera, Puerto Rico",earthquake,0.59,0.68,0.48,5,reviewed,pr,pr
2020-11-16T10:00:04.590Z,34.0431667,-117.239,14.77,0.67,ml,21,104,0.1103,0.23,ci,ci39466871,2020-11-16T10:03:54.954Z,"2km ESE of Loma Linda, CA",earthquake,0.43,0.81,0.134,11,automatic,ci,ci
2020-11-16T09:46:24.510Z,37.5883,-117.6532,0.1,0.8,ml,13,146.19,0.226,0.02,nn,nn00784568,2020-11-16T10:13:41.115Z,"18 km S of Silver Peak, Nevada",earthquake,,4.9,,,automatic,nn,nn
2020-11-16T09:39:00.150Z,35.6051667,-117.3906667,10.33,1.52,ml,22,135,0.08283,0.19,ci,ci39466863,2020-11-16T10:17:41.775Z,"18km S of Trona, CA",earthquake,0.41,0.74,0.122,20,automatic,ci,ci
2020-11-16T09:33:32.960Z,38.1585,-117.87,6,0.7,ml,13,93.44,0.004,0.11,nn,nn00784564,2020-11-16T09:39:59.724Z,"33 km SE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-11-16T09:30:56.870Z,38.167,-117.8475,8,1.6,ml,26,107.52,0.024,0.07,nn,nn00784561,2020-11-16T09:35:02.609Z,"33 km SE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-11-16T09:28:01.580Z,34.0444984,-117.2333298,15.73,3.53,ml,97,39,0.07335,0.2,ci,ci39466855,2020-11-16T14:29:41.264Z,"3km E of Loma Linda, CA",earthquake,0.27,0.53,0.273,16,reviewed,ci,ci
2020-11-16T09:24:35.200Z,38.1515,-118.145,11.9,1.5,ml,22,133.17,0.14,0.2,nn,nn00784555,2020-11-16T09:29:42.053Z,"26 km S of Mina, Nevada",earthquake,,2.3,,,automatic,nn,nn
2020-11-16T09:24:12.204Z,63.5518,-147.5484,7.2,1.3,ml,,,,0.54,ak,ak020er10h36,2020-11-16T09:29:02.390Z,"70 km ESE of McKinley Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-16T09:19:12.011Z,62.3188,-150.792,56.5,1.6,ml,,,,0.65,ak,ak020er0zehm,2020-11-16T09:32:42.922Z,"19 km S of Petersville, Alaska",earthquake,,1.7,,,automatic,ak,ak
2020-11-16T09:17:51.730Z,38.1965,-117.7645,9.1,1.3,ml,20,85.21,0.024,0.09,nn,nn00784551,2020-11-16T09:25:41.279Z,"37 km SE of Mina, Nevada",earthquake,,1.6,,,automatic,nn,nn
2020-11-16T09:14:07.230Z,19.1963329315186,-155.370330810547,32.5699996948242,2.06999993,md,50,175,,0.119999997,hv,hv72231432,2020-11-16T09:17:35.630Z,"11 km E of Pāhala, Hawaii",earthquake,0.59,0.860000014,1.04999995,20,automatic,hv,hv
2020-11-16T09:05:27.370Z,38.8325005,-122.8181686,1.62,1.19,md,27,49,0.01107,0.04,nc,nc73482866,2020-11-16T11:22:07.073Z,"8km NW of The Geysers, CA",earthquake,0.18,0.36,0.11,5,automatic,nc,nc
2020-11-16T08:59:27.500Z,38.203,-117.7325,9.5,1.4,ml,10,122.22,0.103,0.06,nn,nn00784550,2020-11-16T09:19:07.095Z,"38 km ESE of Mina, Nevada",earthquake,,2.3,,,automatic,nn,nn
2020-11-16T08:58:02.765Z,60.7161,-150.0943,38.9,1.3,ml,,,,0.74,ak,ak020er0mb3o,2020-11-16T09:18:30.815Z,"29 km NNW of Cooper Landing, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-11-16T08:56:14.218Z,62.9209,-151.2988,117.5,1.4,ml,,,,0.33,ak,ak020er0lwjx,2020-11-16T09:01:28.406Z,"54 km NNW of Petersville, Alaska",earthquake,,2,,,automatic,ak,ak
2020-11-16T08:47:31.590Z,38.8106651,-122.7788315,0.59,0.62,md,8,150,0.002967,0.04,nc,nc73482861,2020-11-16T09:03:06.751Z,"4km NNW of The Geysers, CA",earthquake,0.58,0.71,0.35,2,automatic,nc,nc
2020-11-16T08:45:10.280Z,35.034,-84.9171667,6.56,2.5,md,17,45,0.2652,0.15,se,se60315057,2020-11-16T13:01:38.939Z,"8 km SW of Wildwood Lake, Tennessee",earthquake,0.3,3.72,0.05,11,reviewed,se,se
2020-11-16T08:44:32.870Z,35.0368333,-84.9155,5.43,1.58,md,16,45,0.266,0.12,se,se60315052,2020-11-16T13:11:09.140Z,"8 km SW of Wildwood Lake, Tennessee",earthquake,0.3,2.06,0.263,8,reviewed,se,se
2020-11-16T08:43:56.620Z,38.196,-117.7443,12.4,2,ml,21,72.61,0.027,0.09,nn,nn00784545,2020-11-16T09:01:03.134Z,"38 km SE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-11-16T08:43:16.260Z,38.1828,-117.845,4.3,1.7,ml,18,173.06,0.013,0.24,nn,nn00784543,2020-11-16T08:46:40.845Z,"32 km SE of Mina, Nevada",earthquake,,1.5,,,automatic,nn,nn
2020-11-16T08:34:57.050Z,32.7453346,-115.8238297,8.33,1.6,ml,28,67,0.1262,0.23,ci,ci39466847,2020-11-16T08:38:32.731Z,"16km E of Ocotillo, CA",earthquake,0.35,1.39,0.355,7,automatic,ci,ci
2020-11-16T08:31:33.690Z,35.7981667,-117.6108333,7.82,0.51,ml,6,200,0.02061,0.08,ci,ci39466839,2020-11-16T08:35:05.375Z,"19km W of Searles Valley, CA",earthquake,0.66,0.71,0.13,6,automatic,ci,ci
2020-11-16T08:28:07.010Z,38.8376656,-122.783165,2.11,0.56,md,8,78,0.007227,0.01,nc,nc73482856,2020-11-16T09:47:05.019Z,"6km WNW of Cobb, CA",earthquake,0.72,1.44,,1,automatic,nc,nc
2020-11-16T08:26:19.090Z,19.1806659698486,-155.537170410156,-0.519999980926514,1.80999994,md,42,103,,0.209999993,hv,hv72231372,2020-11-16T08:29:34.820Z,"6 km WSW of Pāhala, Hawaii",earthquake,0.45,0.200000003,0.360000014,13,automatic,hv,hv
2020-11-16T08:23:58.160Z,35.9013333,-117.7191667,5.08,0.43,ml,8,99,0.07264,0.06,ci,ci39466831,2020-11-16T08:27:31.162Z,"17km ESE of Little Lake, CA",earthquake,0.24,1.02,0.069,5,automatic,ci,ci
2020-11-16T08:02:41.500Z,38.1367,-117.9972,12.6,1.4,ml,16,77.65,0.039,0.09,nn,nn00784537,2020-11-16T08:07:19.473Z,"29 km SSE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-11-16T08:01:32.160Z,38.8338318,-122.8168335,1.32,1.02,md,14,59,0.01168,0.03,nc,nc73482851,2020-11-16T09:21:06.851Z,"8km NW of The Geysers, CA",earthquake,0.25,0.63,,1,automatic,nc,nc
2020-11-16T08:00:22.199Z,62.7826,-150.9437,97.7,1.4,ml,,,,0.39,ak,ak020er09x2j,2020-11-16T08:05:32.104Z,"33 km NNW of Petersville, Alaska",earthquake,,1.4,,,automatic,ak,ak
2020-11-16T07:55:55.736Z,60.4624,-137.2536,0,1.5,ml,,,,0.76,ak,ak020er00cfx,2020-11-16T08:02:11.431Z,"35 km SSE of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
2020-11-16T07:51:06.034Z,-15.8905,-173.6473,110.34,4.6,mb,,124,4.598,0.39,us,us7000cfjw,2020-11-16T08:30:30.040Z,"17 km ENE of Hihifo, Tonga",earthquake,12.9,7.5,0.038,208,reviewed,us,us
2020-11-16T07:48:36.350Z,38.1687,-117.8908,9.8,1.8,ml,26,76.43,0.034,0.1,nn,nn00784532,2020-11-16T08:03:43.420Z,"31 km SE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-11-16T07:46:15.010Z,38.1645,-117.846,9.6,1.1,ml,11,185.15,0.032,0.11,nn,nn00784529,2020-11-16T07:49:59.485Z,"34 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-11-16T07:46:10.230Z,17.917,-66.856,12,2.25,md,11,217,0.0626,0.13,pr,pr2020321002,2020-11-16T08:28:14.714Z,"7 km SSE of Maria Antonia, Puerto Rico",earthquake,0.77,0.53,0.13,7,reviewed,pr,pr
2020-11-16T07:41:19.720Z,38.1507,-117.9473,12.5,1.1,ml,15,114.79,0.014,0.07,nn,nn00784525,2020-11-16T07:47:39.960Z,"30 km SSE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-11-16T07:32:12.350Z,38.8206673,-122.7851639,1.47,0.81,md,9,67,0.008183,0.01,nc,nc73482836,2020-11-16T07:33:50.096Z,"5km W of Cobb, CA",earthquake,0.38,0.77,0.07,2,automatic,nc,nc
2020-11-16T07:29:38.600Z,38.1888,-117.7478,10.4,1.5,ml,16,119.3,0.041,0.09,nn,nn00784522,2020-11-16T07:42:20.532Z,"38 km SE of Mina, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-11-16T07:19:12.690Z,38.8343315,-122.8073349,1.91,0.31,md,11,59,0.01113,0.01,nc,nc73482821,2020-11-16T07:37:05.269Z,"7km W of Cobb, CA",earthquake,0.41,0.81,0.05,2,automatic,nc,nc
2020-11-16T07:19:11.946Z,21.9599,121.4559,62.13,4.8,mb,,120,0.922,0.72,us,us7000cfjs,2020-11-16T07:38:29.040Z,"73 km E of Hengchun, Taiwan",earthquake,8,4.8,0.069,65,reviewed,us,us
2020-11-16T07:18:39.850Z,19.3566666666667,-155.108166666667,7.12,2.88,ml,35,175,,0.09,hv,hv72231287,2020-11-16T09:38:17.606Z,"12 km SSE of Fern Forest, Hawaii",earthquake,0.42,0.48,0.148644796709043,35,reviewed,hv,hv
2020-11-16T07:09:04.320Z,38.1837,-117.7508,12.5,1.6,ml,22,122.16,0.113,0.12,nn,nn00784518,2020-11-16T07:25:41.671Z,"38 km SE of Mina, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-11-16T06:56:23.886Z,38.1701,-117.8188,5.7,1.4,ml,23,56.45,0.042,0.182,nn,nn00784514,2020-11-16T08:47:31.265Z,"35 km SE of Mina, Nevada",earthquake,,1.1,0.22,10,reviewed,nn,nn
2020-11-16T06:55:34.860Z,38.1972,-117.741,11.9,1.2,ml,19,121.79,0.028,0.12,nn,nn00784512,2020-11-16T07:10:01.214Z,"38 km SE of Mina, Nevada",earthquake,,1.4,,,automatic,nn,nn
2020-11-16T06:52:14.301Z,38.165,-117.8507,6.6,1.6,ml,25,62.99,0.017,0.1326,nn,nn00784509,2020-11-16T08:28:59.566Z,"33 km SE of Mina, Nevada",earthquake,,0.8,0.16,10,reviewed,nn,nn
2020-11-16T06:51:48.753Z,38.1792,-117.7896,9.5,0.8,ml,18,112.9,0.059,0.1268,nn,nn00784511,2020-11-16T08:16:35.569Z,"36 km SE of Mina, Nevada",earthquake,,1.2,0.29,7,reviewed,nn,nn
2020-11-16T06:48:54.460Z,38.7970009,-122.7350006,0.66,0.4,md,9,101,0.01381,0.03,nc,nc73482816,2020-11-16T07:03:06.093Z,"3km NE of The Geysers, CA",earthquake,0.26,0.8,0.18,2,automatic,nc,nc
2020-11-16T06:48:49.630Z,38.1968,-117.733,9.8,1.7,ml,24,123.39,0.024,0.13,nn,nn00784505,2020-11-16T06:53:22.138Z,"39 km ESE of Mina, Nevada",earthquake,,1.8,,,automatic,nn,nn
2020-11-16T06:43:19.032Z,63.0699,-150.9273,122.5,1.9,ml,,,,0.59,ak,ak020eqzc9cw,2020-11-16T07:35:08.107Z,"64 km N of Petersville, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-11-16T06:41:44.550Z,33.95,-117.0071667,12.82,0.84,ml,16,113,0.1862,0.35,ci,ci39466807,2020-11-16T06:45:29.524Z,"4km NW of Beaumont, CA",earthquake,1.4,4.66,0.323,13,automatic,ci,ci
2020-11-16T06:35:38.040Z,39.1815,-123.2065,6.17,1.16,md,9,145,0.0774,0.1,nc,nc73482811,2020-11-16T12:10:06.139Z,"4km N of Ukiah, CA",earthquake,0.52,1.75,0.145,10,reviewed,nc,nc
2020-11-16T06:31:26.700Z,38.179,-117.8358,9.6,1.1,ml,12,105.24,0.021,0.26,nn,nn00784501,2020-11-16T06:34:40.023Z,"33 km SE of Mina, Nevada",earthquake,,1.7,,,automatic,nn,nn
2020-11-16T06:16:42.970Z,38.0752,-117.7915,14.8,0.4,ml,8,205.27,0.053,0.11,nn,nn00784499,2020-11-16T06:27:38.724Z,"38 km NNW of Silver Peak, Nevada",earthquake,,9.8,,,automatic,nn,nn
2020-11-16T06:06:46.270Z,17.9095,-66.8476,11,2.4,md,10,229,0.0728,0.07,pr,pr2020321003,2020-11-16T08:28:00.498Z,"8 km SSE of Maria Antonia, Puerto Rico",earthquake,1.56,1.03,0.1,6,reviewed,pr,pr
2020-11-16T05:59:44.650Z,19.3985004425049,-155.246826171875,2.46000003814697,2.09,ml,31,52,,0.170000002,hv,hv72231202,2020-11-16T06:05:14.900Z,"5 km SSW of Volcano, Hawaii",earthquake,0.28,0.310000002,0.28,13,automatic,hv,hv
